text_input,output
ผู้ใช้งานได้รับอนุญาตให้ติดตั้งซอฟต์แวร์เองโดยไม่แจ้งผู้ดูแลระบบได้หรือไม่?,ไม่ได้ ผู้ใช้งานต้องไม่ติดตั้งซอฟต์แวร์เองโดยไม่ได้รับอนุญาตจากผู้ดูแลระบบหรือผู้ที่ได้รับมอบหมาย
ข้อ 7.2 ระบุให้ผู้ใช้งานติดตั้งโปรแกรมอะไร?,ผู้ใช้งานต้องติดตั้งโปรแกรมป้องกันไวรัสคอมพิวเตอร์ (Anti-virus) ตามที่บริษัทติดตั้งให้ใช้งาน
ข้อมูล ไฟล์ ซอฟต์แวร์ ที่ได้รับจากผู้อื่นต้องทำอย่างไรก่อนใช้งานตามข้อ 7.3?,ต้องได้รับการตรวจสอบไวรัสคอมพิวเตอร์และโปรแกรมไม่ประสงค์ดีก่อนนำมาใช้งานหรือเก็บบันทึกทุกครั้ง
ผู้ใช้งานต้องทำอะไรเพื่อป้องกันความเสียหายที่อาจเกิดขึ้นตามข้อ 7.4?,ผู้ใช้งานต้องทำการปรับปรุงข้อมูลสำหรับตรวจสอบและปรับปรุงระบบปฏิบัติการ (Update patch) ให้ใหม่เสมอ เพื่อเป็นการป้องกันความเสียหาย
ทำไมผู้ใช้งานต้องเคารพลิขสิทธิ์ซอฟต์แวร์?,เพราะการละเมิดลิขสิทธิ์ถือเป็นความผิดส่วนบุคคล ผู้ใช้งานต้องรับผิดชอบความผิดที่เกิดขึ้นเอง
การทำสำเนาซอฟต์แวร์ของบริษัทเพื่อนำไปใช้งานที่อื่นอนุญาตหรือไม่?,ไม่อนุญาต ผู้ใช้งานห้ามทำสำเนาซอฟต์แวร์เพื่อใช้งานที่อื่น
ทำไมบริษัทต้องมีการอัปเดต Patch ระบบปฏิบัติการ?,เพื่อป้องกันความเสียหายจากช่องโหว่หรือปัญหาความปลอดภัยที่อาจเกิดขึ้น
หากพบว่าเครื่องคอมพิวเตอร์ไม่มีการติดตั้ง Anti-virus จะผิดนโยบายหรือไม่?,ถือว่าผิดนโยบาย เพราะข้อ 7.2 กำหนดให้เครื่องของผู้ใช้งานต้องติดตั้งโปรแกรม Anti-virus ตามที่บริษัทจัดให้
ผู้ใช้งานสามารถนำข้อมูลไปเผยแพร่หรือเปลี่ยนแปลงโดยไม่ได้รับอนุญาตได้หรือไม่?,ไม่ได้ ผู้ใช้งานห้ามเผยแพร่ เปลี่ยนแปลง หรือทำลายข้อมูลของบริษัทโดยไม่ได้รับอนุญาต
หากผู้ใช้งานใช้ระบบสารสนเทศของบริษัทเพื่อควบคุมระบบภายนอกโดยไม่ได้รับอนุญาตจะเป็นอย่างไร?,ถือว่าละเมิดนโยบายและเป็นความผิดส่วนบุคคล ผู้ใช้งานต้องรับผิดชอบต่อความผิดที่เกิดขึ้น
ทำไมผู้ใช้งานต้องระมัดระวังการใช้งานข้อมูล?,เพื่อป้องกันการละเมิดสิทธิ์ข้อมูล ความลับของบริษัท และไม่ก่อให้เกิดความเสียหายหรือผิดกฎหมาย
ผู้ใช้งานสามารถใช้ทรัพยากรของบริษัทในการทำการค้าส่วนตัวได้หรือไม่?,ไม่ได้ ข้อ 4.5 ห้ามใช้ทรัพยากรของบริษัทเพื่อประโยชน์ทางการค้าส่วนตัว
หากผู้ใช้งานตรวจพบไวรัสในไฟล์ที่ได้รับมาควรทำอย่างไร?,ควรแจ้งผู้ดูแลระบบหรือทำตามขั้นตอนที่บริษัทกำหนดเพื่อจัดการและแก้ไขปัญหา ไม่ควรนำไฟล์ที่ติดไวรัสมาใช้งาน
ผู้ใช้งานต้องเคารพสิทธิ์ส่วนบุคคลของข้อมูลส่วนบุคคลอย่างไร?,ต้องไม่ละเมิดข้อมูลส่วนบุคคลของผู้อื่นโดยไม่ได้รับอนุญาต และเก็บรักษาข้อมูลส่วนบุคคลของตนเองตามสมควร
การละเมิดกฎหมายหรือกฎระเบียบภายในบริษัทมีผลอย่างไรต่อผู้ใช้งาน?,ผู้ใช้งานต้องรับผิดชอบต่อความผิดที่เกิดขึ้น ถือเป็นความผิดส่วนบุคคล
ผู้ใช้งานควรทำอย่างไรเพื่อให้ระบบปฏิบัติการมีความปลอดภัย?,ควรปรับปรุงและอัปเดต Patch ระบบปฏิบัติการให้ทันสมัยอยู่เสมอ
ผู้ใช้งานได้รับอนุญาตให้ติดตั้งโปรแกรม Peer-to-Peer ได้เมื่อใด?,เมื่อได้รับอนุญาตจากผู้บังคับบัญชาหรือหน่วยงานที่เกี่ยวข้องเท่านั้น
ทำไมผู้ใช้งานต้องตรวจสอบความถูกต้องของซอฟต์แวร์ก่อนเซ็นรับ?,เพื่อมั่นใจว่าใช้งานซอฟต์แวร์ที่มีลิขสิทธิ์ถูกต้อง และปฏิบัติตามข้อตกลงการใช้งาน
หากผู้ใช้งานกระทำการเพื่อลักลอบเข้าถึงรหัสส่วนบุคคลของผู้อื่นจะผิดนโยบายข้อใด?,ผิดนโยบายข้อ 4.9 ที่ห้ามการกระทำใด ๆ อันมีลักษณะเป็นการลักลอบใช้รหัสส่วนบุคคลของผู้อื่น
ผู้ใช้งานต้องให้ความร่วมมืออย่างไรในการป้องกันมัลแวร์?,ต้องปฏิบัติตามนโยบายการป้องกันมัลแวร์ของบริษัท ไม่ติดตั้งซอฟต์แวร์โดยพลการ และให้ความร่วมมือกับหน่วยงานดูแลระบบ
ผู้ใช้งานต้องปฏิบัติตามข้อกำหนดด้านสารสนเทศเกี่ยวกับรหัสผ่านอย่างไร?,ผู้ใช้งานต้องตั้งรหัสผ่านและดำเนินการใด ๆ ที่เกี่ยวข้องกับรหัสผ่านตามข้อกำหนดด้านสารสนเทศของบริษัท
ข้อกำหนดในข้อ 1.4 กล่าวถึงเรื่องใด?,ข้อกำหนดในข้อ 1.4 กล่าวถึงการที่ผู้ใช้งานต้องตั้งรหัสผ่านและปฏิบัติตามข้อกำหนดด้านสารสนเทศที่เกี่ยวข้องกับรหัสผ่าน
การบริหารจัดการทรัพย์สินตามข้อ 2.1 ผู้ใช้งานต้องหลีกเลี่ยงการทำอะไร?,ผู้ใช้งานต้องไม่คัดลอกหรือนำเสนอแฟ้มข้อมูลที่มีลิขสิทธิ์ใช้งานก่อนที่จะได้รับอนุญาต
ผู้ใช้งานต้องรับผิดชอบต่อทรัพย์สินของบริษัทอย่างไรตามข้อ 2.2?,ผู้ใช้งานต้องรับผิดชอบทรัพย์สินที่บริษัทมอบให้ใช้งานเสมือนเป็นทรัพย์สินของตนเอง และการรับหรือคืนทรัพย์สินต้องถูกบันทึกและตรวจสอบทุกครั้ง
หากทรัพย์สินที่ผู้ใช้งานใช้เกิดความเสียหายหรือสูญหาย ผู้ใช้งานต้องทำอย่างไรตามข้อ 2.3?,ผู้ใช้งานต้องชดใช้ค่าเสียหายตามมูลค่าทรัพย์สิน หากความเสียหายนั้นเกิดจากความประมาทของผู้ใช้งาน
ผู้ใช้งานสามารถให้ผู้อื่นยืม Computer หรือ Notebook ได้หรือไม่?,ห้ามให้ผู้อื่นยืม Computer หรือ Notebook ไม่ว่ากรณีใด ๆ เว้นแต่ได้รับอนุมัติเป็นลายลักษณ์อักษรจากผู้มีอำนาจ
ทรัพย์สินและระบบสารสนเทศของบริษัทมีวัตถุประสงค์อะไรตามข้อ 2.5?,ทรัพย์สินและระบบสารสนเทศที่บริษัทจัดเตรียมไว้ให้ใช้งานมีวัตถุประสงค์เพื่อการใช้งานของบริษัทเท่านั้น
ผู้ใช้งานสามารถนำทรัพย์สินหรือระบบสารสนเทศของบริษัทไปใช้ในกิจกรรมที่บริษัทไม่กำหนดได้หรือไม่?,ไม่ได้ ห้ามนำทรัพย์สินและระบบสารสนเทศไปใช้ในกิจกรรมที่บริษัทไม่กำหนดหรือก่อให้เกิดความเสียหายต่อบริษัท
หากผู้ใช้งานละเมิดข้อ 2.5 และเกิดความเสียหายจะถือเป็นอย่างไร?,ถือเป็นความผิดส่วนบุคคล และผู้ใช้งานต้องรับผิดชอบต่อความเสียหายที่เกิดขึ้น
การรับเครื่องคอมพิวเตอร์ใหม่ทดแทนเครื่องเก่าอายุ 5 ปี ต้องทำอย่างไร?,ต้องทำตามข้อกำหนดด้านสารสนเทศที่กำหนดไว้
ผู้ใช้งานต้องระมัดระวังอย่างไรในการใช้งานข้อมูลตามข้อ 3.1?,ผู้ใช้งานต้องตระหนักและระมัดระวังต่อการใช้งานข้อมูล ไม่ว่าจะเป็นข้อมูลของบริษัทหรือข้อมูลของบุคคลภายนอก
ข้อมูลใดบ้างที่ถือเป็นทรัพย์สินของบริษัทตามข้อ 3.2?,ข้อมูลทั้งหลายที่อยู่ภายในทรัพย์สินของบริษัทถือเป็นทรัพย์สินของบริษัท
ห้ามทำอะไรกับข้อมูลของบริษัทหากไม่ได้รับอนุญาตตามข้อ 3.2?,ห้ามเผยแพร่ เปลี่ยนแปลง ทำซ้ำ หรือทำลายข้อมูลของบริษัทหากไม่ได้รับอนุญาตจากผู้บังคับบัญชา
ผู้ใช้งานมีส่วนร่วมในการดูแลรักษาและรับผิดชอบข้อมูลของบริษัทอย่างไร?,ผู้ใช้งานมีส่วนร่วมในการดูแลรักษาและรับผิดชอบข้อมูลของบริษัทหรือข้อมูลของผู้รับบริการ หากเกิดความสูญหายหรือนำไปใช้ในทางที่ผิด ผู้ใช้งานต้องร่วมรับผิดชอบ
ผู้ใช้งานต้องป้องกันและรักษาสิ่งใดไว้บ้างตามข้อ 3.4?,ผู้ใช้งานต้องป้องกัน ดูแล และรักษาความลับ ความถูกต้อง และความพร้อมใช้งานของข้อมูล
ผู้ใช้งานมีสิทธิ์โดยชอบธรรมต่อข้อมูลส่วนบุคคลอย่างไรตามข้อ 3.5?,ผู้ใช้งานมีสิทธิ์โดยชอบธรรมในการเก็บ รักษา ใช้งาน และป้องกันข้อมูลส่วนบุคคลของตนเอง บริษัทจะเคารพสิทธิ์ดังกล่าวและไม่อนุญาตให้บุคคลอื่นละเมิดข้อมูลส่วนบุคคลโดยไม่ได้รับอนุญาต
ในกรณีที่บริษัทต้องการตรวจสอบข้อมูล ผู้ใช้งานจะถูกแจ้งเตือนล่วงหน้าหรือไม่?,บริษัทอาจแต่งตั้งผู้ทำหน้าที่ตรวจสอบข้อมูลได้ตลอดเวลาโดยไม่ต้องแจ้งผู้ใช้งานทราบ
ข้อ 4.1 ห้ามผู้ใช้งานทำอะไร?,ห้ามผู้ใช้งานนำเสนอข้อมูลที่ผิดกฎหมาย ละเมิดลิขสิทธิ์ แสดงข้อความ รูปภาพไม่เหมาะสม หรือขัดต่อศีลธรรมและประเพณีอันดีงามของประเทศไทย
ผู้ใช้งานสามารถใช้โปรแกรมประเภท Peer-to-Peer ได้หรือไม่ตามข้อ 4.2?,"ไม่ได้ ห้ามเปิดหรือใช้งานโปรแกรมประเภท Peer-to-Peer เช่น Bittorrent, emule เว้นแต่ได้รับอนุญาตจากผู้บังคับบัญชา"
ข้อ 4.3 ห้ามผู้ใช้งานใช้อะไรในทางที่ขัดต่อศีลธรรมและกฎหมาย?,ห้ามใช้ทรัพยากรระบบสื่อสารทุกประเภทของบริษัทเพื่อเผยแพร่ข้อมูล ข้อความ รูปภาพ หรือสิ่งอื่นใดที่ขัดต่อศีลธรรม ความมั่นคงของประเทศ กฎหมาย หรือกระทบต่อภารกิจของบริษัท
ผู้ใช้งานสามารถใช้ทรัพยากรของบริษัทเพื่อก่อความเสียหายหรือโจรกรรมข้อมูลได้หรือไม่?,ไม่ได้ ห้ามใช้ทรัพยากรระบบสื่อสารทุกประเภทเพื่อรบกวน ก่อความเสียหาย หรือโจรกรรมข้อมูล
ข้อ 4.5 ห้ามผู้ใช้งานทำสิ่งใดเกี่ยวกับทรัพยากรของบริษัท?,ห้ามใช้ทรัพยากรของบริษัทเพื่อประโยชน์ทางการค้าส่วนตัว
การดักข้อมูลในเครือข่ายสารสนเทศของบริษัทได้รับอนุญาตหรือไม่?,ไม่ได้ ห้ามทำการดักข้อมูลไม่ว่าจะเป็นข้อความ ภาพ เสียง หรือสิ่งอื่นใดในเครือข่ายสารสนเทศของบริษัท
ผู้ใช้งานสามารถกระทำการใด ๆ ที่ทำให้ระบบสารสนเทศของบริษัทหยุดชะงักได้หรือไม่?,ไม่ได้ ห้ามกระทำการใด ๆ เพื่อรบกวน ทำลาย หรือทำให้ระบบสารสนเทศของบริษัทต้องหยุดชะงัก
การควบคุมคอมพิวเตอร์หรือระบบสารสนเทศภายนอกโดยไม่ได้รับอนุญาตทำได้หรือไม่?,ไม่ได้ ห้ามใช้ระบบสารสนเทศของบริษัทเพื่อควบคุมคอมพิวเตอร์หรือระบบสารสนเทศภายนอกโดยไม่ได้รับอนุญาต
หากผู้ใช้งานลักลอบใช้รหัสส่วนบุคคลของผู้อื่นจะถือเป็นอย่างไร?,ถือเป็นการกระทำที่ห้ามเด็ดขาด ผู้ใช้งานต้องไม่ลักลอบใช้หรือรับรู้รหัสส่วนบุคคลของผู้อื่นไม่ว่ากรณีใด ๆ
การติดตั้งอุปกรณ์หรือกระทำเพื่อเข้าถึงระบบสารสนเทศของบริษัทโดยไม่อนุญาตเป็นอย่างไร?,เป็นการห้ามกระทำโดยเด็ดขาด ผู้ใช้งานห้ามติดตั้งอุปกรณ์หรือกระทำการใดเพื่อเข้าถึงระบบสารสนเทศของบริษัทโดยไม่ได้รับอนุญาต
ข้อ 5 ระบุว่าผู้ใช้งานต้องปฏิบัติตามอะไร?,ผู้ใช้งานต้องปฏิบัติตามกฎหมายในประเทศไทยและกฎระเบียบของบริษัทอย่างเคร่งครัด
หากผู้ใช้งานกระทำผิดกฎหมายตามข้อ 5 ใครต้องรับผิดชอบ?,ผู้ใช้งานต้องรับผิดชอบต่อความผิดที่เกิดขึ้นเอง ถือเป็นความผิดส่วนบุคคล
ข้อ 6.1 กล่าวถึงความสำคัญของอะไร?,ข้อ 6.1 กล่าวถึงความสำคัญของทรัพย์สินทางปัญญาและลิขสิทธิ์ซอฟต์แวร์
ผู้ใช้งานสามารถติดตั้งหรือใช้ซอฟต์แวร์ที่ไม่มีลิขสิทธิ์ได้หรือไม่?,ไม่ได้ หากตรวจสอบพบว่าละเมิดลิขสิทธิ์ บริษัทถือเป็นความผิดส่วนบุคคล ผู้ใช้งานต้องรับผิดชอบแต่เพียงผู้เดียว
ซอฟต์แวร์ที่บริษัทจัดเตรียมให้ถือเป็นอะไร?,ซอฟต์แวร์ที่บริษัทจัดเตรียมให้ถือเป็นสิ่งจำเป็นต่อการทำงาน ผู้ใช้งานห้ามติดตั้ง ถอดถอน เปลี่ยนแปลง แก้ไข หรือทำสำเนาเพื่อนำไปใช้งานที่อื่น
ผู้ใช้งานต้องตรวจสอบอะไรบ้างเกี่ยวกับซอฟต์แวร์ที่ใช้งานตามข้อ 6.3?,ผู้ใช้งานต้องตรวจสอบความถูกต้องของซอฟต์แวร์ที่ใช้งาน รวมถึงข้อตกลงและขอบเขตในการใช้งานเครื่องคอมพิวเตอร์ของบริษัทในแบบฟอร์มรับเครื่องคอมพิวเตอร์และซอฟต์แวร์ลิขสิทธิ์ทุกครั้งก่อนเซ็นรับ
ข้อ 7.1 กล่าวถึงการใช้ซอฟต์แวร์ประเภทใด?,ข้อ 7.1 กล่าวถึงการใช้ซอฟต์แวร์ที่มีการจัดการและป้องกันมัลแวร์ (โปรแกรมไม่ประสงค์ดี)
ผู้ใช้งานได้รับอนุญาตให้ติดตั้งซอฟต์แวร์เองโดยไม่แจ้งผู้ดูแลระบบได้หรือไม่?,ไม่ได้ ผู้ใช้งานต้องไม่ติดตั้งซอฟต์แวร์เองโดยไม่ได้รับอนุญาตจากผู้ดูแลระบบหรือผู้ที่ได้รับมอบหมาย
ข้อ 7.2 ระบุให้ผู้ใช้งานติดตั้งโปรแกรมอะไร?,ผู้ใช้งานต้องติดตั้งโปรแกรมป้องกันไวรัสคอมพิวเตอร์ (Anti-virus) ตามที่บริษัทติดตั้งให้ใช้งาน
ข้อมูล ไฟล์ ซอฟต์แวร์ ที่ได้รับจากผู้อื่นต้องทำอย่างไรก่อนใช้งานตามข้อ 7.3?,ต้องได้รับการตรวจสอบไวรัสคอมพิวเตอร์และโปรแกรมไม่ประสงค์ดีก่อนนำมาใช้งานหรือเก็บบันทึกทุกครั้ง
ผู้ใช้งานต้องทำอะไรเพื่อป้องกันความเสียหายที่อาจเกิดขึ้นตามข้อ 7.4?,ผู้ใช้งานต้องทำการปรับปรุงข้อมูลสำหรับตรวจสอบและปรับปรุงระบบปฏิบัติการ (Update patch) ให้ใหม่เสมอ เพื่อเป็นการป้องกันความเสียหาย
ทำไมผู้ใช้งานต้องเคารพลิขสิทธิ์ซอฟต์แวร์?,เพราะการละเมิดลิขสิทธิ์ถือเป็นความผิดส่วนบุคคล ผู้ใช้งานต้องรับผิดชอบความผิดที่เกิดขึ้นเอง
การทำสำเนาซอฟต์แวร์ของบริษัทเพื่อนำไปใช้งานที่อื่นอนุญาตหรือไม่?,ไม่อนุญาต ผู้ใช้งานห้ามทำสำเนาซอฟต์แวร์เพื่อใช้งานที่อื่น
ทำไมบริษัทต้องมีการอัปเดต Patch ระบบปฏิบัติการ?,เพื่อป้องกันความเสียหายจากช่องโหว่หรือปัญหาความปลอดภัยที่อาจเกิดขึ้น
หากพบว่าเครื่องคอมพิวเตอร์ไม่มีการติดตั้ง Anti-virus จะผิดนโยบายหรือไม่?,ถือว่าผิดนโยบาย เพราะข้อ 7.2 กำหนดให้เครื่องของผู้ใช้งานต้องติดตั้งโปรแกรม Anti-virus ตามที่บริษัทจัดให้
ผู้ใช้งานสามารถนำข้อมูลไปเผยแพร่หรือเปลี่ยนแปลงโดยไม่ได้รับอนุญาตได้หรือไม่?,ไม่ได้ ผู้ใช้งานห้ามเผยแพร่ เปลี่ยนแปลง หรือทำลายข้อมูลของบริษัทโดยไม่ได้รับอนุญาต
หากผู้ใช้งานใช้ระบบสารสนเทศของบริษัทเพื่อควบคุมระบบภายนอกโดยไม่ได้รับอนุญาตจะเป็นอย่างไร?,ถือว่าละเมิดนโยบายและเป็นความผิดส่วนบุคคล ผู้ใช้งานต้องรับผิดชอบต่อความผิดที่เกิดขึ้น
ทำไมผู้ใช้งานต้องระมัดระวังการใช้งานข้อมูล?,เพื่อป้องกันการละเมิดสิทธิ์ข้อมูล ความลับของบริษัท และไม่ก่อให้เกิดความเสียหายหรือผิดกฎหมาย
ผู้ใช้งานสามารถใช้ทรัพยากรของบริษัทในการทำการค้าส่วนตัวได้หรือไม่?,ไม่ได้ ข้อ 4.5 ห้ามใช้ทรัพยากรของบริษัทเพื่อประโยชน์ทางการค้าส่วนตัว
หากผู้ใช้งานตรวจพบไวรัสในไฟล์ที่ได้รับมาควรทำอย่างไร?,ควรแจ้งผู้ดูแลระบบหรือทำตามขั้นตอนที่บริษัทกำหนดเพื่อจัดการและแก้ไขปัญหา ไม่ควรนำไฟล์ที่ติดไวรัสมาใช้งาน
ผู้ใช้งานต้องเคารพสิทธิ์ส่วนบุคคลของข้อมูลส่วนบุคคลอย่างไร?,ต้องไม่ละเมิดข้อมูลส่วนบุคคลของผู้อื่นโดยไม่ได้รับอนุญาต และเก็บรักษาข้อมูลส่วนบุคคลของตนเองตามสมควร
การละเมิดกฎหมายหรือกฎระเบียบภายในบริษัทมีผลอย่างไรต่อผู้ใช้งาน?,ผู้ใช้งานต้องรับผิดชอบต่อความผิดที่เกิดขึ้น ถือเป็นความผิดส่วนบุคคล
ผู้ใช้งานควรทำอย่างไรเพื่อให้ระบบปฏิบัติการมีความปลอดภัย?,ควรปรับปรุงและอัปเดต Patch ระบบปฏิบัติการให้ทันสมัยอยู่เสมอ
ผู้ใช้งานได้รับอนุญาตให้ติดตั้งโปรแกรม Peer-to-Peer ได้เมื่อใด?,เมื่อได้รับอนุญาตจากผู้บังคับบัญชาหรือหน่วยงานที่เกี่ยวข้องเท่านั้น
ทำไมผู้ใช้งานต้องตรวจสอบความถูกต้องของซอฟต์แวร์ก่อนเซ็นรับ?,เพื่อมั่นใจว่าใช้งานซอฟต์แวร์ที่มีลิขสิทธิ์ถูกต้อง และปฏิบัติตามข้อตกลงการใช้งาน
หากผู้ใช้งานกระทำการเพื่อลักลอบเข้าถึงรหัสส่วนบุคคลของผู้อื่นจะผิดนโยบายข้อใด?,ผิดนโยบายข้อ 4.9 ที่ห้ามการกระทำใด ๆ อันมีลักษณะเป็นการลักลอบใช้รหัสส่วนบุคคลของผู้อื่น
ผู้ใช้งานต้องให้ความร่วมมืออย่างไรในการป้องกันมัลแวร์?,ต้องปฏิบัติตามนโยบายการป้องกันมัลแวร์ของบริษัท ไม่ติดตั้งซอฟต์แวร์โดยพลการ และให้ความร่วมมือกับหน่วยงานดูแลระบบ
ข้อ 12.6 ผู้ดูแลระบบต้องดูแลเครื่องแม่ข่ายในด้านใด?,ต้องติดตั้งโปรแกรม Anti-Virus อัพเดท (patch) และโปรแกรมประยุกต์ต่าง ๆ ให้เป็นเวอร์ชันปัจจุบันอยู่เสมอ
ข้อ 12.7 กล่าวถึงการจัดการบัญชีผู้ใช้งานที่มาจากผู้ผลิตอย่างไร?,ต้องยกเลิกบัญชีผู้ใช้ที่ติดตั้งมาจากผู้ผลิต หรือทำการเปลี่ยนรหัสผ่านของบัญชีผู้ใช้ที่มาจากผู้ผลิต
ข้อ 12.8 ระบุให้มีการบันทึก Audit Log อย่างไร?,ต้องตั้งค่าให้มีการบันทึก Audit Log ของการเข้าใช้งานเครื่องแม่ข่าย และเก็บไว้ไม่น้อยกว่า 90 วัน พร้อมตรวจสอบ Audit Log เป็นประจำ
ข้อ 12.9 ผู้ดูแลระบบต้องทำอะไรกับแผนผังระบบเครือข่าย?,ต้องจัดทำแผนผังระบบเครือข่ายที่ครอบคลุมเครือข่ายภายใน ภายนอก และอุปกรณ์ต่าง ๆ และปรับปรุงให้เป็นปัจจุบันเสมอ
ข้อ 12.10 กล่าวถึงการจัดเก็บข้อมูลการจราจรทางคอมพิวเตอร์อย่างไร?,ต้องมีการจัดเก็บข้อมูลการจราจรทางคอมพิวเตอร์ (Log) ไม่น้อยกว่า 90 วัน
ข้อ 13.1 มีวัตถุประสงค์อะไรในการจัดทำระบบสำรองข้อมูล?,เพื่อให้ระบบสารสนเทศของบริษัทสามารถให้บริการได้อย่างต่อเนื่อง มีเสถียรภาพ และพร้อมใช้งาน โดยจัดทำระบบสำรองข้อมูลที่เหมาะสมและกำหนดหน้าที่ความรับผิดชอบชัดเจน
ข้อ 13.2 ระบุให้มีการทดสอบอะไรปีละครั้ง?,ให้มีการทดสอบแผนบริหารความต่อเนื่องทางธุรกิจ (Business Continuity Plan) สำหรับระบบงานที่มีความสำคัญอย่างน้อยปีละ 1 ครั้ง
ข้อ 13.3 กำหนดให้ทำอะไรเพื่อสร้างความต่อเนื่องให้กับธุรกิจ?,ต้องกำหนดกรอบสำหรับการวางแผนเพื่อสร้างความต่อเนื่องให้ธุรกิจให้สอดคล้องกัน และครอบคลุมข้อกำหนดด้านความมั่นคงปลอดภัยเทคโนโลยีสารสนเทศ
ทำไมผู้ใช้งานและผู้ดูแลระบบต้องให้ความสำคัญในการรักษาความมั่นคงปลอดภัยด้านข้อมูล?,เพื่อให้ระบบสารสนเทศของบริษัทยังคงดำเนินการได้อย่างต่อเนื่อง มั่นคงปลอดภัย และเชื่อถือได้
เหตุใดบริษัทจึงมีการจัดอบรมอย่างน้อยปีละ 1 ครั้ง?,เพื่อสร้างความรู้ความเข้าใจและความตระหนักเรื่องความมั่นคงปลอดภัยสารสนเทศ (information security awareness) ให้แก่ผู้ใช้งาน
หากผู้ใช้งานเจตนาฝ่าฝืนนโยบายความปลอดภัยระบบสารสนเทศ ถือเป็นความผิดหรือไม่?,ถือเป็นความผิด แม้การฝ่าฝืนนั้นจะไม่บรรลุผลโดยสมบูรณ์ก็ตาม
การลงโทษทางวินัยผู้กระทำความผิดพิจารณาจากอะไรบ้าง?,พิจารณาจากเจตนา สภาพแวดล้อม ผลจากการกระทำผิด โอกาสเกิดผลดังกล่าว ความร่วมมือในการทำงาน คุณงามความดีในอดีต และประโยชน์ที่บริษัทจะได้รับในอนาคต
บทลงโทษทางวินัยมีอะไรบ้าง?,ตักเตือนด้วยวาจา ตักเตือนเป็นหนังสือ พักงานโดยไม่รับค่าจ้าง ตัดสิทธิ์ประโยชน์หรือเงินได้อื่น ๆ ที่ไม่ใช่ค่าจ้าง และเลิกจ้าง
ใครมีอำนาจสั่งลงโทษตามข้อ 1.1 (ตักเตือนด้วยวาจา)?,ผู้บังคับบัญชาในระดับหัวหน้างานหรือผู้มีตำแหน่งเทียบเท่าหัวหน้างานขึ้นไปมีอำนาจสั่งลงโทษตามข้อ 1.1 ได้
หากผู้บังคับบัญชาต้องการสั่งลงโทษตามข้อ 1.1-1.4 ใครมีอำนาจ?,ผู้บังคับบัญชาในระดับผู้จัดการแผนกหรือผู้มีตำแหน่งเทียบเท่าขึ้นไปมีอำนาจสั่งลงโทษตามข้อ 1.1-1.4
ใครมีอำนาจใช้ดุลพินิจสั่งลงโทษในระดับสูงสุดตามข้อ 1.1-1.5?,กรรมการผู้จัดการใหญ่หรือผู้ได้รับมอบหมายจากกรรมการผู้จัดการใหญ่เป็นผู้มีอำนาจใช้ดุลพินิจสั่งลงโทษพนักงานในระดับโทษอย่างไรก็ได้ตามข้อ 1.1-1.5
ก่อนสั่งลงโทษ พนักงานต้องได้รับการสอบสวนอย่างไร?,ต้องสอบสวนให้ได้ความจริงอย่างยุติธรรม โดยมีพยานหลักฐานน่าเชื่อถือมากกว่าพยานหรือคำชี้แจงแก้ข้อกล่าวหาของผู้ถูกสงสัย
ผู้บังคับบัญชาต้องรายงานเมื่อพบพนักงานกระทำผิดอย่างไร?,ผู้บังคับบัญชาต้องรายงานตามลำดับชั้นเพื่อเอาโทษต่อผู้กระทำผิดอย่างเคร่งครัด การละเว้นหน้าที่ถือเป็นความผิดเช่นกัน
นโยบายนี้มีการทบทวนบ่อยเพียงใด?,บริษัทฯ กำหนดให้มีการทบทวนนโยบายระบบสารสนเทศทุก ๆ 1 ปี หรือหากมีกรณีเร่งด่วนจะนำมาทบทวนปรับปรุงก่อนครบกำหนด
ข้อกำหนดในการจัดการรหัสผ่าน (Password) ถูกกำหนดโดยใคร?,กำหนดโดยฝ่ายเทคโนโลยีสารสนเทศ (IT) และต้องทบทวนข้อกำหนดอย่างน้อยปีละ 1 ครั้ง
ข้อกำหนดเรื่องความยาวและความซับซ้อนของรหัสผ่านตามข้อ 13.5 เป็นอย่างไร?,รหัสผ่านต้องยาวอย่างน้อย 8 ตัวอักษร ประกอบด้วยตัวอักษรภาษาอังกฤษใหญ่และเล็ก ตัวเลข และอักขระพิเศษ รวมกันให้เดายาก (Strong Password)
ข้อ 13.6 ห้ามใช้อักขระเรียงกันหรือซ้ำกันเกินกี่ตัวอักษร?,ห้ามใช้อักขระเรียงกันหรือซ้ำเกิน 3 ตัวอักษร หรืออักขระที่เหมือนกับชื่อผู้ใช้งานเกิน 3 ตัวอักษร
รหัสผ่านสามารถใช้ซ้ำกับรหัสผ่านเดิมได้หรือไม่ตามข้อ 13.7?,ไม่ได้ ห้ามใช้รหัสผ่านซ้ำกับรหัสผ่านที่เคยใช้มาแล้ว 2 ครั้ง
รหัสผ่านผู้ใช้งานทั่วไปต้องเปลี่ยนทุกกี่วัน?,ต้องเปลี่ยนรหัสผ่านทุก ๆ 90 วัน
รหัสผ่านของ System Administrator ต้องเปลี่ยนทุกกี่วัน?,ต้องเปลี่ยนรหัสผ่านทุก ๆ 60 วัน
